col1,col2
204.239,0.72141
204.259,0.72141
204.279,0.72141
204.299,0.72141
204.319,0.72141
204.339,0.72142
204.359,0.72142
204.379,0.72142
204.399,0.72142
204.419,0.72142
204.439,0.72142
204.459,0.72142
204.479,0.72142
204.499,0.72142
204.519,0.72142
204.539,0.72142
204.559,0.72142
204.579,0.72142
204.599,0.72143
204.619,0.72143
204.639,0.72143
204.659,0.72143
204.679,0.72143
204.699,0.72143
204.719,0.72143
204.739,0.72143
204.759,0.72143
204.779,0.72143
204.799,0.72143
204.819,0.72143
204.839,0.72143
204.859,0.72143
204.879,0.72144
204.899,0.72144
204.919,0.72144
204.939,0.72144
204.959,0.72144
204.979,0.72144
204.999,0.72144
205.019,0.72142
205.039,0.72139
205.059,0.72137
205.079,0.72135
205.099,0.72132
205.119,0.7213
205.139,0.72126
205.159,0.72115
205.179,0.72104
205.199,0.72093
205.219,0.72082
205.239,0.72072
205.259,0.72061
205.279,0.7205
205.299,0.72039
205.319,0.72028
205.339,0.72017
205.359,0.72007
205.379,0.71996
205.399,0.71985
205.419,0.71974
205.439,0.71963
205.459,0.71953
205.479,0.71942
205.499,0.71931
205.519,0.7192
205.539,0.71909
205.559,0.71899
205.579,0.71888
205.599,0.71877
205.619,0.71866
205.639,0.71856
205.659,0.71845
205.679,0.71834
205.699,0.71823
205.719,0.71812
205.739,0.71802
205.759,0.71791
205.779,0.7178
205.799,0.71769
205.819,0.71759
205.839,0.71748
205.859,0.71737
205.879,0.71726
205.899,0.71715
205.919,0.71705
205.939,0.71694
205.959,0.71683
205.979,0.71672
205.999,0.71662
206.019,0.71646
206.039,0.7163
206.059,0.71615
206.079,0.71599
206.099,0.71583
206.119,0.71567
206.139,0.71552
206.159,0.71536
206.179,0.7152
206.199,0.71505
206.219,0.71489
206.239,0.71473
206.259,0.71457
206.279,0.71442
206.299,0.71426
206.319,0.7141
206.339,0.71395
206.359,0.71379
206.379,0.71363
206.399,0.71348
206.419,0.71332
206.439,0.71316
206.459,0.71301
206.479,0.71285
206.499,0.71269
206.519,0.71254
