,col0,col1,col2
405,3446.5,540.0,56.0
406,3447.5,538.0,62.0
407,3448.5,522.0,58.0
408,3449.5,528.0,52.0
409,3450.5,540.0,58.0
410,3451.5,544.0,60.0
411,3452.5,532.0,54.0
412,3453.5,548.0,56.0
413,3454.5,532.0,50.0
414,3455.5,550.0,48.0
415,3456.5,506.0,50.0
416,3457.5,536.0,48.0
417,3458.5,518.0,56.0
418,3459.5,530.0,50.0
419,3460.5,504.0,56.0
420,3461.5,504.0,48.0
421,3462.5,538.0,50.0
422,3463.5,500.0,48.0
423,3464.5,528.0,48.0
424,3465.5,518.0,50.0
425,3466.5,502.0,50.0
426,3467.5,512.0,44.0
427,3468.5,478.0,40.0
428,3469.5,496.0,42.0
429,3470.5,500.0,42.0
430,3471.5,504.0,44.0
431,3472.5,482.0,44.0
432,3473.5,490.0,46.0
433,3474.5,512.0,38.0
434,3475.5,508.0,46.0
435,3476.5,498.0,46.0
436,3477.5,490.0,38.0
437,3478.5,510.0,46.0
438,3479.5,504.0,46.0
439,3480.5,454.0,40.0
440,3481.5,470.0,38.0
441,3482.5,482.0,36.0
442,3483.5,488.0,42.0
443,3484.5,496.0,38.0
444,3485.5,464.0,40.0
445,3486.5,484.0,34.0
446,3487.5,472.0,34.0
447,3488.5,486.0,40.0
448,3489.5,468.0,40.0
449,3490.5,498.0,36.0
450,3491.5,468.0,30.0
451,3492.5,484.0,36.0
452,3493.5,468.0,36.0
453,3494.5,466.0,28.0
454,3495.5,466.0,34.0
455,3496.5,468.0,32.0
456,3497.5,490.0,38.0
457,3498.5,452.0,36.0
458,3499.5,468.0,32.0
459,3500.5,472.0,36.0
460,3501.5,470.0,38.0
461,3502.5,438.0,30.0
462,3503.5,424.0,30.0
463,3504.5,428.0,38.0
464,3505.5,452.0,30.0
465,3506.5,454.0,40.0
466,3507.5,448.0,36.0
467,3508.5,468.0,30.0
468,3509.5,452.0,30.0
469,3510.5,452.0,30.0
470,3511.5,438.0,30.0
471,3512.5,420.0,32.0
472,3513.5,456.0,28.0
473,3514.5,408.0,28.0
474,3515.5,444.0,28.0
475,3516.5,448.0,26.0
476,3517.5,416.0,32.0
477,3518.5,416.0,32.0
478,3519.5,428.0,32.0
479,3520.5,448.0,30.0
480,3521.5,438.0,26.0
481,3522.5,424.0,30.0
482,3523.5,410.0,28.0
483,3524.5,442.0,30.0
484,3525.5,412.0,32.0
485,3526.5,420.0,32.0
486,3527.5,432.0,26.0
487,3528.5,414.0,28.0
488,3529.5,394.0,28.0
489,3530.5,418.0,26.0
490,3531.5,426.0,20.0
491,3532.5,412.0,26.0
492,3533.5,396.0,24.0
493,3534.5,388.0,26.0
494,3535.5,410.0,30.0
495,3536.5,420.0,26.0
496,3537.5,420.0,24.0
497,3538.5,404.0,28.0
498,3539.5,394.0,28.0
499,3540.5,396.0,30.0
500,3541.5,404.0,24.0
501,3542.5,378.0,22.0
502,3543.5,406.0,22.0
503,3544.5,396.0,26.0
504,3545.5,382.0,22.0
505,3546.5,394.0,26.0
506,3547.5,390.0,20.0
507,3548.5,394.0,26.0
508,3549.5,392.0,22.0
509,3550.5,390.0,22.0
510,3551.5,402.0,26.0
511,3552.5,408.0,26.0
512,3553.5,374.0,22.0
513,3554.5,400.0,24.0
514,3555.5,386.0,18.0
515,3556.5,396.0,18.0
516,3557.5,402.0,26.0
517,3558.5,404.0,22.0
518,3559.5,394.0,22.0
519,3560.5,386.0,18.0
520,3561.5,368.0,28.0
521,3562.5,366.0,28.0
522,3563.5,366.0,18.0
523,3564.5,376.0,22.0
524,3565.5,376.0,24.0
525,3566.5,372.0,18.0
526,3567.5,380.0,18.0
527,3568.5,374.0,16.0
528,3569.5,364.0,26.0
529,3570.5,352.0,22.0
530,3571.5,368.0,24.0
531,3572.5,376.0,22.0
532,3573.5,362.0,24.0
533,3574.5,360.0,18.0
534,3575.5,356.0,22.0
535,3576.5,380.0,22.0
536,3577.5,358.0,18.0
537,3578.5,374.0,14.0
538,3579.5,354.0,16.0
539,3580.5,360.0,20.0
540,3581.5,370.0,20.0
541,3582.5,372.0,22.0
542,3583.5,360.0,18.0
543,3584.5,364.0,18.0
544,3585.5,354.0,16.0
545,3586.5,366.0,20.0
546,3587.5,348.0,24.0
547,3588.5,348.0,22.0
548,3589.5,352.0,16.0
549,3590.5,336.0,20.0
550,3591.5,362.0,20.0
551,3592.5,354.0,18.0
552,3593.5,342.0,18.0
553,3594.5,344.0,20.0
554,3595.5,360.0,18.0
555,3596.5,368.0,20.0
556,3597.5,344.0,20.0
557,3598.5,342.0,16.0
558,3599.5,322.0,20.0
559,3600.5,340.0,18.0
560,3601.5,326.0,12.0
561,3602.5,336.0,18.0
562,3603.5,332.0,14.0
563,3604.5,334.0,18.0
564,3605.5,320.0,16.0
565,3606.5,342.0,18.0
566,3607.5,344.0,16.0
567,3608.5,334.0,18.0
568,3609.5,356.0,18.0
569,3610.5,336.0,18.0
