NUV, %
  214.10,  58.2580 
  214.20,  58.3960 
  214.30,  58.5340 
  214.40,  58.6720 
  214.50,  58.8100 
  214.60,  58.9480 
  214.70,  59.0860 
  214.80,  59.2240 
  214.90,  59.3620 
  215.00,  59.5000 
  215.10,  59.5432 
  215.20,  59.5864 
  215.30,  59.6296 
  215.40,  59.6728 
  215.50,  59.7160 
  215.60,  59.7592 
  215.70,  59.8024 
  215.80,  59.8456 
  215.90,  59.8888 
  216.00,  59.9320 
  216.10,  59.9752 
  216.20,  60.0184 
  216.30,  60.0616 
  216.40,  60.1048 
  216.50,  60.1480 
  216.60,  60.1912 
  216.70,  60.2344 
  216.80,  60.2776 
  216.90,  60.3208 
  217.00,  60.3640 
  217.10,  60.4072 
  217.20,  60.4504 
  217.30,  60.4936 
  217.40,  60.5368 
  217.50,  60.5800 
  217.60,  60.6232 
  217.70,  60.6664 
  217.80,  60.7096 
  217.90,  60.7528 
  218.00,  60.7960 
  218.10,  60.8392 
  218.20,  60.8824 
  218.30,  60.9256 
  218.40,  60.9688 
  218.50,  61.0120 
  218.60,  61.0552 
  218.70,  61.0984 
  218.80,  61.1416 
  218.90,  61.1848 
  219.00,  61.2280 
  219.10,  61.2712 
  219.20,  61.3144 
  219.30,  61.3576 
  219.40,  61.4008 
  219.50,  61.4440 
  219.60,  61.4872 
  219.70,  61.5304 
  219.80,  61.5736 
  219.90,  61.6168 
  220.00,  61.6600 
  220.10,  61.5552 
  220.20,  61.4504 
  220.30,  61.3456 
  220.40,  61.2408 
  220.50,  61.1360 
  220.60,  61.0312 
  220.70,  60.9264 
  220.80,  60.8216 
  220.90,  60.7168 
  221.00,  60.6120 
  221.10,  60.5072 
  221.20,  60.4024 
  221.30,  60.2976 
  221.40,  60.1928 
  221.50,  60.0880 
  221.60,  59.9832 
  221.70,  59.8784 
  221.80,  59.7736 
  221.90,  59.6688 
  222.00,  59.5640 
  222.10,  59.4592 
  222.20,  59.3544 
  222.30,  59.2496 
  222.40,  59.1448 
  222.50,  59.0400 
  222.60,  58.9352 
  222.70,  58.8304 
  222.80,  58.7256 
  222.90,  58.6208 
  223.00,  58.5160 
  223.10,  58.4112 
  223.20,  58.3064 
  223.30,  58.2016 
  223.40,  58.0968 
  223.50,  57.9920 
  223.60,  57.8872 
  223.70,  57.7824 
  223.80,  57.6776 
  223.90,  57.5728 
  224.00,  57.4680 
  224.10,  57.3632 
  224.20,  57.2584 
  224.30,  57.1536 
  224.40,  57.0488 
  224.50,  56.9440 
  224.60,  56.8392 
  224.70,  56.7344 
  224.80,  56.6296 
  224.90,  56.5248 
  225.00,  56.4200 
  225.10,  56.3528 
  225.20,  56.2856 
  225.30,  56.2184 
  225.40,  56.1512 
  225.50,  56.0840 
  225.60,  56.0168 
  225.70,  55.9496 
  225.80,  55.8824 
  225.90,  55.8152 
  226.00,  55.7480 
  226.10,  55.6808 
  226.20,  55.6136 
  226.30,  55.5464 
  226.40,  55.4792 
  226.50,  55.4120 
  226.60,  55.3448 
  226.70,  55.2776 
  226.80,  55.2104 
  226.90,  55.1432 
  227.00,  55.0760 
  227.10,  55.0088 
  227.20,  54.9416 
  227.30,  54.8744 
  227.40,  54.8072 
  227.50,  54.7400 
  227.60,  54.6728 
  227.70,  54.6056 
  227.80,  54.5384 
  227.90,  54.4712 
  228.00,  54.4040 
  228.10,  54.3368 
  228.20,  54.2696 
  228.30,  54.2024 
  228.40,  54.1352 
  228.50,  54.0680 
  228.60,  54.0008 
  228.70,  53.9336 
  228.80,  53.8664 
  228.90,  53.7992 
  229.00,  53.7320 
  229.10,  53.6648 
  229.20,  53.5976 
  229.30,  53.5304 
  229.40,  53.4632 
  229.50,  53.3960 
  229.60,  53.3288 
  229.70,  53.2616 
  229.80,  53.1944 
  229.90,  53.1272 
  230.00,  53.0600 
  230.10,  52.9518 
  230.20,  52.8436 
  230.30,  52.7354 
  230.40,  52.6272 
  230.50,  52.5190 
  230.60,  52.4108 
  230.70,  52.3026 
  230.80,  52.1944 
  230.90,  52.0862 
  231.00,  51.9780 
  231.10,  51.8698 
  231.20,  51.7616 
  231.30,  51.6534 
  231.40,  51.5452 
  231.50,  51.4370 
  231.60,  51.3288 
  231.70,  51.2206 
  231.80,  51.1124 
  231.90,  51.0042 
  232.00,  50.8960 
  232.10,  50.7878 
  232.20,  50.6796 
  232.30,  50.5714 
  232.40,  50.4632 
  232.50,  50.3550 
  232.60,  50.2468 
  232.70,  50.1386 
  232.80,  50.0304 
  232.90,  49.9222 
  233.00,  49.8140 
  233.10,  49.7058 
  233.20,  49.5976 
  233.30,  49.4894 
  233.40,  49.3812 
  233.50,  49.2730 
  233.60,  49.1648 
  233.70,  49.0566 
  233.80,  48.9484 
  233.90,  48.8402 
  234.00,  48.7320 
  234.10,  48.6238 
  234.20,  48.5156 
  234.30,  48.4074 
  234.40,  48.2992 
  234.50,  48.1910 
  234.60,  48.0828 
  234.70,  47.9746 
  234.80,  47.8664 
  234.90,  47.7582 
  235.00,  47.6500 
  235.10,  47.7116 
  235.20,  47.7732 
  235.30,  47.8348 
  235.40,  47.8964 
  235.50,  47.9580 
