FUV,     %
  174.40, 10.7480 
  174.50, 10.7150 
  174.60, 10.6820 
  174.70, 10.6490 
  174.80, 10.6160 
  174.90, 10.5830 
  175.00, 10.5500 
  175.10, 10.3596 
  175.20, 10.1692 
  175.30,  9.9788 
  175.40,  9.7884 
  175.50,  9.5980 
  175.60,  9.4076 
  175.70,  9.2172 
  175.80,  9.0268 
  175.90,  8.8364 
  176.00,  8.6460 
  176.10,  8.4556 
  176.20,  8.2652 
  176.30,  8.0748 
  176.40,  7.8844 
  176.50,  7.6940 
  176.60,  7.5036 
  176.70,  7.3132 
  176.80,  7.1228 
  176.90,  6.9324 
  177.00,  6.7420 
  177.10,  6.5516 
  177.20,  6.3612 
  177.30,  6.1708 
  177.40,  5.9804 
  177.50,  5.7900 
  177.60,  5.5996 
  177.70,  5.4092 
  177.80,  5.2188 
  177.90,  5.0284 
  178.00,  4.8380 
  178.10,  4.6476 
  178.20,  4.4572 
  178.30,  4.2668 
  178.40,  4.0764 
  178.50,  3.8860 
  178.60,  3.6956 
  178.70,  3.5052 
  178.80,  3.3148 
  178.90,  3.1244 
  179.00,  2.9340 
  179.10,  2.7436 
  179.20,  2.5532 
  179.30,  2.3628 
  179.40,  2.1724 
  179.50,  1.9820 
  179.60,  1.7916 
  179.70,  1.6012 
  179.80,  1.4108 
  179.90,  1.2204 
  180.00,  1.0300 
  180.10,  0.9270 
  180.20,  0.8240 
  180.30,  0.7210 
  180.40,  0.6180 
  180.50,  0.5150 
  180.60,  0.4120 
  180.70,  0.3090 
  180.80,  0.2060 
  180.90,  0.1030 
  181.00,  0.0000 
1000,0
