wave_microns,transmission
3.02,0.9999999824712251
3.02025,0.9999999824665119
3.0205,0.9999999824620994
3.02075,0.999999982456584
3.021,0.9999999824521716
3.02125,0.9999999824478595
3.0215,0.999999982439135
3.02175,0.9999999824347227
3.022,0.9999999824303103
3.02225,0.9999999824257977
3.0225,0.9999999824213852
3.02275,0.9999999824169729
3.023,0.9999999824115576
3.02325,0.9999999824071453
3.0235,0.9999999824027329
3.02375,0.9999999823983206
3.024,0.999999982393106
3.02425,0.9999999823886936
3.0245,0.9999999823842811
3.02475,0.9999999823798688
3.025,0.9999999823754564
3.02525,0.9999999823709438
3.0255,0.9999999823665313
3.02575,0.9999999823619184
3.026,0.9999999823543974
3.02625,0.999999982349985
3.0265,0.9999999823455725
3.02675,0.9999999823376503
3.027,0.999999982333238
3.02725,0.9999999823288256
3.0275,0.9999999823241124
3.02775,0.9999999823195997
3.028,0.9999999823151873
3.02825,0.9999999823107749
3.0285,0.9999999823063626
3.02875,0.9999999823019502
3.029,0.9999999822974376
3.02925,0.9999999822929249
3.0295,0.9999999822885125
3.02975,0.9999999822839999
3.03,0.9999999822792867
3.03025,0.9999999822748742
3.0305,0.9999999822703616
3.03075,0.999999982258027
3.031,0.9999999822536146
3.03125,0.9999999822492022
3.0315,0.9999999822446896
3.03175,0.9999999822402772
3.032,0.9999999822358648
3.03225,0.9999999822313521
3.0325,0.9999999822268395
3.03275,0.9999999822223268
3.033,0.9999999822175133
3.03325,0.9999999822111956
3.0335,0.9999999822067832
3.03375,0.9999999822023709
3.034,0.9999999821978581
3.03425,0.9999999821933455
3.0345,0.9999999821887325
3.03475,0.9999999821841197
3.035,0.9999999821795067
3.03525,0.9999999821750943
3.0355,0.9999999821673726
3.03575,0.99999998216286
3.036,0.9999999821584477
3.03625,0.9999999821539349
3.0365,0.9999999821495226
3.03675,0.99999998214501
3.037,0.9999999821404972
3.03725,0.9999999821354831
3.0375,0.9999999821310708
3.03775,0.9999999821265582
3.038,0.9999999821220454
3.03825,0.9999999821176331
3.0385,0.9999999821131205
3.03875,0.9999999821086077
3.039,0.9999999821041954
3.03925,0.9999999820996828
3.0395,0.9999999820952704
3.03975,0.9999999820907577
3.04,0.9999999820857437
3.04025,0.999999982081231
3.0405,0.999999982076618
3.04075,0.9999999820722056
3.041,0.9999999820675928
3.04125,0.99999998206308
3.0415,0.9999999820585674
3.04175,0.9999999820540547
3.042,0.9999999820440266
3.04225,0.9999999820386114
3.0425,0.9999999820340988
3.04275,0.9999999820296864
3.043,0.9999999820251737
3.04325,0.9999999820206611
3.0435,0.9999999820139422
3.04375,0.9999999820094295
3.044,0.9999999820049169
3.04425,0.9999999819935851
3.0445,0.9999999819890725
3.04475,0.9999999819806488
3.045,0.9999999819761362
3.04525,0.9999999819716235
3.0455,0.9999999819671108
3.04575,0.9999999819625982
3.046,0.9999999819579852
3.04625,0.9999999819534726
3.0465,0.9999999819489599
3.04675,0.9999999819444473
3.047,0.9999999819399346
3.04725,0.9999999819354219
3.0475,0.9999999819309093
3.04775,0.9999999819263966
3.048,0.999999981921884
3.04825,0.9999999819173713
3.0485,0.9999999819109533
3.04875,0.999999981905137
3.049,0.9999999819006243
3.04925,0.9999999818961116
3.0495,0.9999999818909974
3.04975,0.9999999818861838
3.05,0.9999999818815709
3.05025,0.9999999818770582
3.0505,0.9999999818725456
3.05075,0.9999999818678323
3.051,0.9999999818633196
3.05125,0.999999981858807
3.0515,0.9999999818542944
3.05175,0.9999999818496814
3.052,0.9999999818451687
3.05225,0.9999999818406561
3.0525,0.9999999818359429
3.05275,0.9999999818314302
3.053,0.9999999818268173
3.05325,0.9999999818222043
3.0535,0.9999999818173908
3.05375,0.9999999818126776
3.054,0.9999999818079643
3.05425,0.9999999818032511
3.0545,0.9999999817986382
3.05475,0.9999999817941255
3.055,0.9999999817896129
3.05525,0.9999999817849999
3.0555,0.9999999817804873
3.05575,0.99999998177076
3.056,0.9999999817640411
3.05625,0.9999999817595285
3.0565,0.9999999817550158
3.05675,0.9999999817477956
3.057,0.9999999817431826
3.05725,0.99999998173867
3.0575,0.999999981734057
3.05775,0.9999999817295444
3.058,0.9999999817237281
3.05825,0.9999999817192154
3.0585,0.9999999817146025
3.05875,0.9999999817100897
3.059,0.9999999817054769
3.05925,0.9999999817009642
3.0595,0.9999999816943457
3.05975,0.9999999816897327
3.06,0.9999999816852201
3.06025,0.9999999816806071
3.0605,0.9999999816756933
3.06075,0.9999999816710804
3.061,0.9999999816629576
3.06125,0.999999981658445
3.0615,0.9999999816533306
3.06175,0.9999999816488179
3.062,0.999999981644205
3.06225,0.999999981639592
3.0625,0.9999999816326726
3.06275,0.9999999816280597
3.063,0.9999999816234467
3.06325,0.9999999816106108
3.0635,0.9999999816056969
3.06375,0.999999981601084
3.064,0.9999999815964711
3.06425,0.9999999815917578
3.0645,0.9999999815871449
3.06475,0.999999981579724
3.065,0.9999999815748103
3.06525,0.9999999815701973
3.0655,0.9999999815634785
3.06575,0.9999999815588656
3.066,0.9999999815542526
3.06625,0.9999999815494391
3.0665,0.9999999815446257
3.06675,0.9999999815400127
3.067,0.9999999815353997
3.06725,0.9999999815224634
3.0675,0.9999999815178505
3.06775,0.9999999815132375
3.068,0.9999999815086246
3.06825,0.9999999815038111
3.0685,0.9999999814991982
3.06875,0.9999999814945852
3.069,0.9999999814899723
3.06925,0.9999999814853594
3.0695,0.9999999814807464
3.06975,0.9999999814761334
3.07,0.9999999814715205
3.07025,0.9999999814669076
3.0705,0.9999999814622946
3.07075,0.9999999814576817
3.071,0.9999999814530688
3.07125,0.9999999814484558
3.0715,0.9999999814438428
3.07175,0.99999998143923
3.072,0.999999981434617
3.07225,0.9999999814290013
3.0725,0.9999999814243883
3.07275,0.999999981419675
3.073,0.9999999814150622
3.07325,0.9999999814104492
3.0735,0.9999999814058362
3.07375,0.999999981401123
3.074,0.9999999813957079
3.07425,0.9999999813910949
3.0745,0.9999999813864819
3.07475,0.9999999813804651
3.075,0.9999999813758521
3.07525,0.9999999813709384
3.0755,0.9999999813663254
3.07575,0.9999999813617124
3.076,0.9999999813570996
3.07625,0.9999999813524866
3.0765,0.9999999813477733
3.07675,0.9999999813431605
3.077,0.9999999813384473
3.07725,0.9999999813336337
3.0775,0.9999999813290208
3.07775,0.9999999813206975
3.078,0.9999999813159842
3.07825,0.9999999813113712
3.0785,0.9999999813065578
3.07875,0.9999999813019448
3.079,0.9999999812973318
3.07925,0.9999999812921172
3.0795,0.9999999812875043
3.07975,0.9999999812828914
3.08,0.9999999812781781
3.08025,0.9999999812680497
3.0805,0.9999999812634368
3.08075,0.9999999812587236
3.081,0.9999999812500994
